"","pair_1","pair_2","total_songs","top_hits","top_hit_proportion"
"1","Country","Country",8,1,0.125
"2","Country","Pop",2,0,0
"3","Country","Rock/Metal",1,0,0
"4","Electronic","Electronic",3,2,0.666666666666667
"5","Electronic","Hip-Hop",5,0,0
"6","Electronic","Pop",9,4,0.444444444444444
"7","Electronic","Soul/R&B",1,1,1
"8","Hip-Hop","Hip-Hop",128,39,0.3046875
"9","Hip-Hop","Pop",144,33,0.229166666666667
"10","Hip-Hop","Rock/Metal",11,5,0.454545454545455
"11","Hip-Hop","Soul/R&B",22,3,0.136363636363636
"12","Pop","Pop",116,30,0.258620689655172
"13","Pop","Rock/Metal",11,2,0.181818181818182
"14","Pop","Soul/R&B",13,0,0
"15","Rock/Metal","Rock/Metal",14,2,0.142857142857143
"16","Rock/Metal","Soul/R&B",5,2,0.4
"17","Soul/R&B","Soul/R&B",20,0,0
